"Extracted from the UNHCR Population Statistics Reference Database","United Nations High Commissioner for Refugees"
"Date extracted: 2018-12-04 16:09:09 +01:00"

Year,"Country / territory of asylum/residence",Origin,"RSD procedure type / level","Applied during year"
2014,Belgium,"Syrian Arab Rep.","G / FI",2524
2014,Belgium,"Syrian Arab Rep.","G / JR",28
2014,Belgium,"Syrian Arab Rep.","G / RA",81
2014,Bulgaria,"Syrian Arab Rep.","G / RA",45
2014,Bulgaria,"Syrian Arab Rep.","G / FI",6254
2014,"Bosnia and Herzegovina","Syrian Arab Rep.","G / JR",1
2014,"Bosnia and Herzegovina","Syrian Arab Rep.","G / FI",4
2014,Belarus,"Syrian Arab Rep.","G / JR",1
2014,Belarus,"Syrian Arab Rep.","G / FI",95
2014,Switzerland,"Syrian Arab Rep.","G / RA",51
2014,Switzerland,"Syrian Arab Rep.","G / AR",
2014,Switzerland,"Syrian Arab Rep.","G / FI",3768
2014,"Czech Rep.","Syrian Arab Rep.","G / RA",1
2014,"Czech Rep.","Syrian Arab Rep.","G / FI",107
2014,Germany,"Syrian Arab Rep.","G / NA",39332
2014,Germany,"Syrian Arab Rep.","G / RA",1768
2014,Germany,"Syrian Arab Rep.","G / JR",
2014,Denmark,"Syrian Arab Rep.","G / AR",137
2014,Denmark,"Syrian Arab Rep.","G / FI",7085
2014,Denmark,"Syrian Arab Rep.","G / RA",4
2014,Spain,"Syrian Arab Rep.","G / FI",1679
2014,Estonia,"Syrian Arab Rep.","G / FI",7
2014,Finland,"Syrian Arab Rep.","G / FI",146
2014,Finland,"Syrian Arab Rep.","G / RA",3
2014,France,"Syrian Arab Rep.","G / AR",143
2014,France,"Syrian Arab Rep.","G / RA",1
2014,France,"Syrian Arab Rep.","G / RA",12
2014,France,"Syrian Arab Rep.","G / FI",3142
2014,"United Kingdom","Syrian Arab Rep.","G / AR",91
2014,"United Kingdom","Syrian Arab Rep.","G / FI",2406
2014,"United Kingdom","Syrian Arab Rep.","G / RA",7
2014,Greece,"Syrian Arab Rep.","G / FI",781
2014,Greece,"Syrian Arab Rep.","G / AR",153
2014,Croatia,"Syrian Arab Rep.","G / FI",54
2014,Croatia,"Syrian Arab Rep.","G / JR",5
2014,Hungary,"Syrian Arab Rep.","G / FI",6719
2014,Hungary,"Syrian Arab Rep.","G / RA",138
2014,Ireland,"Syrian Arab Rep.","G / FI",25
2014,Ireland,"Syrian Arab Rep.","G / SP",
2014,Ireland,"Syrian Arab Rep.","G / AR",3
2014,Iceland,"Syrian Arab Rep.","G / FI",5
2014,Italy,"Syrian Arab Rep.","G / FI",504
2014,Italy,"Syrian Arab Rep.","G / RA",3
2014,Liechtenstein,"Syrian Arab Rep.","G / FI",6
2014,Lithuania,"Syrian Arab Rep.","G / FI",8
2014,Luxembourg,"Syrian Arab Rep.","G / FI",92
2014,Luxembourg,"Syrian Arab Rep.","G / AR",6
